ID,Length,GC %,ORF count,Longest
NG_017013.2,32772,48.96,89,561
PZ086170.1,123,65.04,0,0
PX584652.1,1182,56.94,15,1182
PX584651.1,1182,56.85,15,1182
PX584650.1,1182,56.77,15,1182
NM_001407264.1,2522,52.78,20,1224
NM_001407263.1,2615,53.27,20,1227
NM_001407268.1,2642,52.5,19,1026
NM_001407269.1,2642,52.5,19,1026
NM_001407271.1,2658,51.96,20,1071
